FundingDecisionId2,GeographicAreaId1,GeographicAreaCode_ISO21,GeographicAreaCode_ISO22,GeographicAreaCode_ISO31,GeographicAreaName1,GeographicAreaLevelName1,ComponentId1,ComponentName1,PeriodFrom,PeriodTo,Currency,AllocatedAmount,ProgramSplitAmount,ProgramSplitStatus,AllocationUtilizationPeriodStartDate,AllocationUtilizationPeriodEndDate
b53bb8e7-6def-4422-97ed-55d7b1b7e7e8,b582c23d-697d-4370-a81b-d3dd72eab7c2,SZ,SZ,SWZ,Swaziland,Country,7a7e3f22-e4d1-4f2a-b6a4-9f1b794429c3,Tuberculosis,2017,2019,US$,11900000.00,11900000.00,Agreed,7/1/2018 12:00:00 AM,6/30/2021 12:00:00 AM
df0e95be-637b-4479-805e-671105dacd93,b582c23d-697d-4370-a81b-d3dd72eab7c2,SZ,SZ,SWZ,Swaziland,Country,d6adb260-7f63-4a94-8b4e-58b933baf76c,HIV/AIDS,2017,2019,US$,35310126.00,35310126.00,Agreed,10/1/2018 12:00:00 AM,9/30/2021 12:00:00 AM
7f38e456-265f-43e9-b2a1-c00df53dc7bb,b582c23d-697d-4370-a81b-d3dd72eab7c2,SZ,SZ,SWZ,Swaziland,Country,6077f91a-b3fa-4307-946b-03935bab4bb0,Malaria,2017,2019,US$,2581055.00,2581055.00,Agreed,1/1/2018 12:00:00 AM,12/31/2020 12:00:00 AM
2f9bd622-d288-4631-9349-1024fc60a449,9fa56c37-6f5d-4f04-a8ef-d41b4b7e1502,ST,ST,STP,Sao Tome and Principe,Country,6077f91a-b3fa-4307-946b-03935bab4bb0,Malaria,2017,2019,US$,3900000.00,3475290.00,Agreed,1/1/2018 12:00:00 AM,12/31/2020 12:00:00 AM
d7a42711-30dd-49c6-945d-709868103e08,9fa56c37-6f5d-4f04-a8ef-d41b4b7e1502,ST,ST,STP,Sao Tome and Principe,Country,7a7e3f22-e4d1-4f2a-b6a4-9f1b794429c3,Tuberculosis,2017,2019,US$,911176.07,811949.00,Agreed,1/1/2018 12:00:00 AM,12/31/2020 12:00:00 AM
75872089-3fc9-4541-9534-b8f38bef19d4,9fa56c37-6f5d-4f04-a8ef-d41b4b7e1502,ST,ST,STP,Sao Tome and Principe,Country,d6adb260-7f63-4a94-8b4e-58b933baf76c,HIV/AIDS,2017,2019,US$,899645.38,801674.00,Agreed,4/1/2018 12:00:00 AM,3/31/2021 12:00:00 AM
d6c44f28-2756-4741-84ad-86b312495f8d,4b856894-86ff-43b0-99bf-d7074ff6d634,EG,EG,EGY,Egypt,Country,7a7e3f22-e4d1-4f2a-b6a4-9f1b794429c3,Tuberculosis,2017,2019,US$,1558243.00,1558243.00,Original,,
d0f31bda-0210-4897-bbfc-997fe3f17ce3,4b856894-86ff-43b0-99bf-d7074ff6d634,EG,EG,EGY,Egypt,Country,d6adb260-7f63-4a94-8b4e-58b933baf76c,HIV/AIDS,2017,2019,US$,500093.00,500093.00,Original,,
edb26062-5a11-4f77-a9f6-2d0c81aa10a4,9e8b8568-adaa-4b26-af09-da5b112c51e7,UG,UG,UGA,Uganda,Country,6077f91a-b3fa-4307-946b-03935bab4bb0,Malaria,2017,2019,US$,188322878.00,186693747.00,Agreed,1/1/2018 12:00:00 AM,12/31/2020 12:00:00 AM
efbe8872-662b-454c-a5c6-ac9b39795e7d,9e8b8568-adaa-4b26-af09-da5b112c51e7,UG,UG,UGA,Uganda,Country,7a7e3f22-e4d1-4f2a-b6a4-9f1b794429c3,Tuberculosis,2017,2019,US$,21101922.00,22406578.00,Agreed,1/1/2018 12:00:00 AM,12/31/2020 12:00:00 AM
e3e5b36c-eaf6-402f-b620-db47aa2b6ac1,9e8b8568-adaa-4b26-af09-da5b112c51e7,UG,UG,UGA,Uganda,Country,d6adb260-7f63-4a94-8b4e-58b933baf76c,HIV/AIDS,2017,2019,US$,255632244.00,255956719.00,Agreed,1/1/2018 12:00:00 AM,12/31/2020 12:00:00 AM
5db333a4-c761-44c3-ad48-edf3bc6a400c,b64c29b4-0131-4f67-8c06-da720fc20e63,IR,IR,IRN,Iran (Islamic Republic),Country,d6adb260-7f63-4a94-8b4e-58b933baf76c,HIV/AIDS,2017,2019,US$,10687693.00,10687693.00,Agreed,4/1/2018 12:00:00 AM,3/31/2021 12:00:00 AM
